DATE,ID,DAY_MAX_OZONE,DAILY_AQI_VALUE,SITE_NAME,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_CODE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2020-04-07 0:00:00,60370002,0.033,31,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-08 0:00:00,60370002,0.04,37,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-09 0:00:00,60370002,0.037,34,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-10 0:00:00,60370002,0.04,37,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-11 0:00:00,60370002,0.048,44,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-12 0:00:00,60370002,0.036,33,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-13 0:00:00,60370002,0.028,26,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-14 0:00:00,60370002,0.048,44,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-15 0:00:00,60370002,0.055,51,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-16 0:00:00,60370002,0.056,54,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-17 0:00:00,60370002,0.041,38,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-18 0:00:00,60370002,0.037,34,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-19 0:00:00,60370002,0.043,40,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-20 0:00:00,60370002,0.039,36,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-21 0:00:00,60370002,0.046,43,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-22 0:00:00,60370002,0.061,71,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-23 0:00:00,60370002,0.076,119,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-24 0:00:00,60370002,0.07,100,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-25 0:00:00,60370002,0.091,164,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-26 0:00:00,60370002,0.086,151,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-27 0:00:00,60370002,0.064,80,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-28 0:00:00,60370002,0.072,105,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-29 0:00:00,60370002,0.058,61,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-04-30 0:00:00,60370002,0.076,119,Azusa,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.1365,-117.92391
2020-03-01 0:00:00,60370016,0.045,42,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-02 0:00:00,60370016,0.045,42,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-03 0:00:00,60370016,0.046,43,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-04 0:00:00,60370016,0.044,41,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-05 0:00:00,60370016,0.052,48,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-06 0:00:00,60370016,0.031,29,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-11 0:00:00,60370016,0.039,36,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-12 0:00:00,60370016,0.031,29,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-13 0:00:00,60370016,0.034,31,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-14 0:00:00,60370016,0.038,35,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-15 0:00:00,60370016,0.044,41,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-16 0:00:00,60370016,0.037,34,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-19 0:00:00,60370016,0.038,35,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-20 0:00:00,60370016,0.043,40,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-21 0:00:00,60370016,0.049,45,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-22 0:00:00,60370016,0.043,40,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-23 0:00:00,60370016,0.046,43,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-24 0:00:00,60370016,0.043,40,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-25 0:00:00,60370016,0.044,41,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-26 0:00:00,60370016,0.045,42,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-27 0:00:00,60370016,0.046,43,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-28 0:00:00,60370016,0.053,49,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-29 0:00:00,60370016,0.052,48,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-30 0:00:00,60370016,0.05,46,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-03-31 0:00:00,60370016,0.055,51,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-01 0:00:00,60370016,0.06,67,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-02 0:00:00,60370016,0.047,44,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-03 0:00:00,60370016,0.054,50,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-04 0:00:00,60370016,0.051,47,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-05 0:00:00,60370016,0.037,34,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-06 0:00:00,60370016,0.032,30,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-07 0:00:00,60370016,0.035,32,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-10 0:00:00,60370016,0.041,38,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-11 0:00:00,60370016,0.05,46,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
2020-04-12 0:00:00,60370016,0.036,33,Glendora,24,100,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,34.14435,-117.85036
