OBJECTID,DATE,ID,DAY_MAX_OZONE,DAILY_AQI_VALUE,SITE_NAME,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_CODE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
93,2020-04-06 0:00:00,60010007,0.039,36,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
94,2020-04-07 0:00:00,60010007,0.042,39,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
95,2020-04-08 0:00:00,60010007,0.036,33,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
96,2020-04-09 0:00:00,60010007,0.03,28,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
97,2020-04-10 0:00:00,60010007,0.039,36,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
98,2020-04-11 0:00:00,60010007,0.035,32,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
99,2020-04-12 0:00:00,60010007,0.036,33,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
100,2020-04-13 0:00:00,60010007,0.044,41,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
101,2020-04-14 0:00:00,60010007,0.05,46,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
102,2020-04-15 0:00:00,60010007,0.049,45,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
103,2020-04-16 0:00:00,60010007,0.03,28,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
104,2020-04-17 0:00:00,60010007,0.037,34,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
105,2020-04-18 0:00:00,60010007,0.042,39,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
106,2020-04-19 0:00:00,60010007,0.04,37,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
107,2020-04-20 0:00:00,60010007,0.042,39,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
108,2020-04-21 0:00:00,60010007,0.038,35,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
109,2020-04-22 0:00:00,60010007,0.04,37,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
110,2020-04-23 0:00:00,60010007,0.04,37,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
111,2020-04-24 0:00:00,60010007,0.051,47,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
112,2020-04-25 0:00:00,60010007,0.045,42,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
113,2020-04-26 0:00:00,60010007,0.04,37,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
114,2020-04-27 0:00:00,60010007,0.044,41,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
115,2020-04-28 0:00:00,60010007,0.042,39,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
116,2020-04-30 0:00:00,60010007,0.049,45,Livermore,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.687526,-121.784217
187,2020-03-01 0:00:00,60010009,0.037,34,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
188,2020-03-02 0:00:00,60010009,0.039,36,Oakland,20,83,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
189,2020-03-03 0:00:00,60010009,0.028,26,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
190,2020-03-04 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
191,2020-03-05 0:00:00,60010009,0.033,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
192,2020-03-06 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
193,2020-03-07 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
194,2020-03-08 0:00:00,60010009,0.036,33,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
